company_id,report_date,credit_score,payment_index,derogatory_count,years_on_file,trade_lines_count,utilization_rate
COMP_000001,2020-11-28,58,46.16,2,1.6490305427625942,19,0.8028
COMP_000001,2021-06-06,50,56.68,1,1.0557580365741712,17,0.1728
COMP_000001,2023-10-13,58,47.74,2,1.0911700496460826,19,0.5539
COMP_000002,2021-10-04,90,69.08,0,18.64508613301259,38,0.8754
COMP_000002,2020-01-22,91,74.6,0,2.2626626692340777,27,0.4864
COMP_000003,2023-07-03,94,70.76,0,5.411331930844957,49,0.8244
COMP_000004,2024-03-08,64,83.79,2,15.611367207259429,14,0.2911
COMP_000004,2023-03-26,60,68.48,2,2.9705652681789627,8,0.8962
COMP_000005,2024-09-22,85,99.17,0,3.0683752726497087,27,0.747
COMP_000006,2021-03-08,71,81.51,3,3.5405860906066806,10,0.5507
COMP_000007,2024-08-25,36,56.87,1,3.4623976907876823,43,0.7309
COMP_000007,2024-11-27,38,70.79,4,2.241612733717826,10,0.812
COMP_000007,2020-01-29,39,61.12,2,1.1573560600543158,6,0.4071
COMP_000008,2024-07-04,66,86.23,0,18.261826158550516,18,0.8909
COMP_000009,2024-12-03,72,83.87,2,11.331326728984592,42,0.5278
COMP_000009,2020-08-17,70,88.45,0,5.42401396366108,33,0.874
COMP_000009,2022-09-11,71,79.1,1,1.1461750865211795,31,0.3719
COMP_000010,2021-01-05,75,82.13,1,1.6777666137920397,46,0.4208
COMP_000011,2021-03-21,67,77.51,3,1.6312116829951662,36,0.3123
COMP_000012,2022-06-13,93,63.58,1,5.24723199714931,32,0.2454
COMP_000013,2020-12-18,73,75.06,1,7.6126533562378915,37,0.6975
COMP_000013,2023-11-25,74,82.06,3,2.498395776045617,31,0.6513
COMP_000014,2021-11-18,77,91.3,0,1.556649573140028,26,0.7031
COMP_000014,2024-11-26,73,84.97,2,1.5031334991953735,42,0.3283
COMP_000014,2022-07-22,71,86.1,2,1.9202282493618128,45,0.3111
COMP_000015,2022-08-28,60,46.23,1,10.672498154760614,32,0.3673
COMP_000015,2021-06-09,62,87.17,0,13.576701361539023,40,0.7136
COMP_000015,2020-05-14,64,62.96,1,12.232236631100875,28,0.2413
COMP_000016,2020-08-22,41,43.96,5,12.51281645767568,46,0.7018
COMP_000016,2024-01-29,35,34.25,5,13.543977842416977,15,0.1083
COMP_000016,2023-08-04,39,35.97,4,14.077514135572244,32,0.8615
COMP_000017,2020-09-02,87,66.71,0,16.265848245429456,43,0.2724
COMP_000017,2021-05-22,85,95.79,0,6.869334354219951,45,0.382
COMP_000017,2022-01-01,87,98.13,0,6.903249646782559,33,0.7671
COMP_000018,2024-11-07,76,89.08,1,4.376612091714413,15,0.182
COMP_000018,2023-07-04,75,62.66,2,19.51795030535428,4,0.2672
COMP_000018,2023-08-25,73,87.42,1,14.923729685647986,37,0.6098
COMP_000019,2020-09-11,91,68.0,0,3.9756832859789495,37,0.7682
COMP_000019,2022-10-20,90,95.32,0,10.609199264004214,42,0.5783
COMP_000019,2020-10-25,98,86.69,0,1.69710671601733,10,0.3873
COMP_000020,2022-11-06,68,71.19,1,2.858494289116247,30,0.6744
COMP_000020,2023-07-04,62,94.19,2,3.792315951281852,39,0.632
COMP_000021,2020-08-25,73,75.55,1,13.718977806906503,45,0.7534
COMP_000021,2024-04-06,70,70.96,3,12.706805691027235,3,0.3928
COMP_000022,2020-08-01,75,84.38,0,13.710888744891376,44,0.2505
COMP_000022,2021-04-08,81,60.58,0,17.90990471546909,7,0.6916
COMP_000022,2021-08-13,77,99.88,2,5.638057028339913,34,0.85
COMP_000023,2023-04-03,90,65.41,0,1.9702800573423485,34,0.8112
COMP_000024,2023-03-27,47,35.39,2,18.117444876293927,43,0.1995
COMP_000025,2022-06-13,52,49.64,1,9.475587003143941,10,0.7226
COMP_000026,2024-10-06,72,64.62,2,13.544664170960719,41,0.142
COMP_000026,2023-06-23,74,95.88,1,12.746274555745941,26,0.3215
COMP_000026,2020-06-24,74,75.72,1,16.645769279446924,16,0.7144
COMP_000027,2024-05-30,58,48.82,5,13.217029657674692,49,0.7124
COMP_000028,2020-07-07,64,78.21,3,17.15157039364503,42,0.7258
COMP_000028,2022-03-02,63,69.52,3,7.592053738109338,16,0.7439
COMP_000029,2023-08-02,48,51.32,4,14.429327256229705,7,0.3829
COMP_000030,2020-09-17,63,62.68,2,2.4958110650301197,48,0.4234
COMP_000030,2023-11-05,68,82.47,1,12.478666985728346,48,0.4542
COMP_000031,2022-12-16,62,77.75,0,15.098122346815192,32,0.3935
COMP_000031,2020-10-15,59,77.25,1,2.896380927074029,32,0.1741
COMP_000032,2024-07-29,52,39.77,2,1.7514429783980083,16,0.5887
COMP_000032,2024-12-21,53,39.67,5,16.098703276220586,35,0.4981
COMP_000033,2021-05-09,65,94.68,0,19.54072390379722,27,0.8968
COMP_000033,2023-03-17,67,79.87,0,12.754264766171884,32,0.182
COMP_000034,2024-12-07,55,45.63,3,8.299545254571004,33,0.683
COMP_000034,2020-03-01,54,30.69,3,1.7371428739236592,28,0.3072
COMP_000034,2021-05-30,48,30.65,1,1.4844309396530786,25,0.5383
COMP_000035,2020-04-15,39,61.69,1,7.268328872954506,9,0.7401
COMP_000036,2023-09-26,90,98.19,0,2.865335658786047,8,0.1314
COMP_000036,2020-10-15,91,97.46,0,8.144577477899063,13,0.5852
COMP_000037,2024-04-28,88,69.07,0,14.033040934965337,49,0.3773
COMP_000037,2024-03-26,86,76.2,0,18.629791037331845,14,0.511
COMP_000038,2021-03-15,49,36.86,4,8.375679289161706,11,0.23
COMP_000039,2021-04-21,59,35.17,1,11.614914665424504,33,0.2707
COMP_000040,2024-02-23,70,93.49,0,9.960215125118054,8,0.8791
COMP_000041,2023-11-07,48,65.75,4,16.790066060525206,48,0.8556
COMP_000041,2021-10-09,43,34.82,3,19.75218473639206,27,0.62
COMP_000042,2023-05-12,42,39.67,2,12.551512285834777,24,0.615
COMP_000042,2020-12-01,47,58.21,4,1.6943142468620092,17,0.6071
