company_id,company_name,industry,years_in_business,employee_count,annual_revenue,net_income,total_assets,total_liabilities,current_ratio,quick_ratio,debt_to_equity,interest_coverage_ratio,region,country
COMP_000001,Fowler & Johnson LLC,healthcare,2,696,377667418.25,36927305.96,435432915.13,179723019.31,1.0563,0.8411,0.7028,4.624,North America,United States
COMP_000002,ElectionDog and Sons,hospitality,39,1385,190192146.98,5351933.08,238259447.54,106731421.69,2.5985,1.5284,0.8115,1.967,North America,United States
COMP_000003,"Garcia, Yang and Gardner",financial_services,10,21338,3662649769.64,175773452.55,2226208402.81,758879071.42,1.8812,1.2107,0.5172,5.8133,North America,Canada
COMP_000004,Garza Inc,healthcare,36,5224,600665191.78,41887874.83,416273020.02,217854220.23,2.0743,1.1967,1.098,6.8079,Asia Pacific,Japan
COMP_000005,Johnson & Robinson PLC,construction,18,477,82229227.02,7530081.73,46956852.71,14399402.31,2.0086,1.5428,0.4423,9.1075,North America,United States
COMP_000006,"Johnson, Gonzalez and Santos",manufacturing,30,2642,320429095.47,26658114.27,161483401.47,71827804.56,2.6329,2.0374,0.8012,6.2549,Europe,United Kingdom
COMP_000007,Gardner & Robinson PLC,financial_services,5,1014,299837224.72,12798549.75,156624934.03,112081077.77,1.6042,1.2227,2.5162,3.4596,Latin America,Brazil
COMP_000008,Ramirez & Booth and Sons,hospitality,35,1516,173369053.01,11266854.43,125914517.44,66395143.43,2.1823,1.2826,1.1155,3.1283,North America,United States
COMP_000009,SaveKnowledge LLC,manufacturing,44,8606,1206218873.37,108387154.81,2026265709.08,733747633.91,3.8889,2.7675,0.5677,3.0248,North America,United States
COMP_000010,Ramirez & Lewis LLC,energy,8,60842,7095322149.07,396123435.11,9624212696.09,3015747543.95,2.6752,2.1077,0.4563,2.776,North America,Canada
COMP_000011,Garcia & James LLC,manufacturing,24,160,50963143.65,7285267.25,38930844.25,19043430.2,2.5568,1.279,0.9576,9.0869,Asia Pacific,Singapore
COMP_000012,Munoz-Roman,professional_services,6,557,97006030.29,2778655.56,78931781.46,27933942.3,2.6959,2.1738,0.5477,3.7214,Europe,France
COMP_000013,Blair PLC,retail,35,1345,416556435.12,59076604.59,271407376.91,127057645.84,2.1811,1.6766,0.8802,10.7129,Latin America,Brazil
COMP_000014,CapitalWin Group,energy,2,12170,2162774151.25,175278380.45,2558974857.4,1152001518.36,0.9849,0.7411,0.8188,4.8331,Asia Pacific,Japan
COMP_000015,BarOld LLC,transportation,14,1316,190006717.54,18489258.03,119875873.35,72011471.61,2.5019,1.4941,1.5045,5.7487,North America,United States
