loan_id,company_id,loan_amount,interest_rate,term_months,purpose,collateral_type,collateral_value,ltv_ratio,origination_date,loan_status,default_flag,days_to_default,loss_amount,recovery_amount
LOAN_000001,COMP_000460,2667632.44,0.0777,36,working_capital,securities,5293662.14,0.5039,2021-07-31,paid_off,0,,,
LOAN_000002,COMP_003671,1884764.68,0.0758,36,working_capital,equipment,2419550.26,0.779,2021-05-23,paid_off,0,,,
LOAN_000003,COMP_003685,50000000.0,0.0826,36,real_estate,inventory,92746754.45,0.5391,2020-09-03,paid_off,0,,,
LOAN_000004,COMP_002823,50000000.0,0.0557,24,acquisition,real_estate,69556220.24,0.7188,2024-02-17,default,1,120,17162883.64,32837116.36
LOAN_000005,COMP_000255,1131428.64,0.0677,60,expansion,securities,1396258.47,0.8103,2023-01-06,current,0,,,
LOAN_000006,COMP_001186,50000000.0,0.0525,12,expansion,unsecured,0.0,,2024-06-03,paid_off,0,,,
LOAN_000007,COMP_000881,50000000.0,0.0692,48,expansion,real_estate,76769381.57,0.6513,2023-10-23,current,0,,,
LOAN_000008,COMP_003487,37175088.95,0.0672,48,equipment,unsecured,0.0,,2022-08-05,current,0,,,
LOAN_000009,COMP_000852,50000000.0,0.0752,60,acquisition,equipment,71532223.08,0.699,2024-07-10,current,0,,,
LOAN_000010,COMP_000223,6640981.89,0.0779,24,acquisition,inventory,12912421.08,0.5143,2022-11-20,paid_off,0,,,
LOAN_000011,COMP_003673,50000000.0,0.0743,60,equipment,securities,86333625.44,0.5791,2024-10-10,current,0,,,
LOAN_000012,COMP_001725,50000000.0,0.0654,12,working_capital,unsecured,0.0,,2023-02-16,paid_off,0,,,
LOAN_000013,COMP_000643,25976325.52,0.0654,12,expansion,inventory,48346515.52,0.5373,2020-05-25,paid_off,0,,,
LOAN_000014,COMP_000482,50000000.0,0.0709,48,acquisition,unsecured,0.0,,2020-08-14,paid_off,0,,,
LOAN_000015,COMP_003965,2255199.69,0.0708,60,working_capital,securities,4069076.89,0.5542,2024-12-20,current,0,,,
LOAN_000016,COMP_001966,50000000.0,0.08,12,acquisition,real_estate,84253147.74,0.5934,2022-07-11,paid_off,0,,,
LOAN_000017,COMP_000634,50000000.0,0.0707,12,acquisition,inventory,79337770.92,0.6302,2023-03-20,paid_off,0,,,
LOAN_000018,COMP_001604,13378409.34,0.0891,48,refinancing,equipment,24782134.26,0.5398,2022-05-08,current,0,,,
LOAN_000019,COMP_002180,50000000.0,0.0685,24,equipment,unsecured,0.0,,2021-07-13,paid_off,0,,,
LOAN_000020,COMP_002514,17916450.87,0.0518,60,refinancing,inventory,30798676.06,0.5817,2024-10-08,current,0,,,
LOAN_000021,COMP_002563,2002615.92,0.0938,12,refinancing,receivables,3018515.87,0.6634,2022-09-27,paid_off,0,,,
LOAN_000022,COMP_002571,50000000.0,0.0713,24,equipment,receivables,81182447.67,0.6159,2024-09-21,current,0,,,
LOAN_000023,COMP_001595,18154578.78,0.0652,60,acquisition,securities,23268682.74,0.7802,2020-05-04,paid_off,0,,,
LOAN_000024,COMP_000079,50000000.0,0.0669,60,real_estate,unsecured,0.0,,2022-03-15,current,0,,,
LOAN_000025,COMP_002695,50000000.0,0.067,12,working_capital,real_estate,60948572.3,0.8204,2022-03-17,paid_off,0,,,
LOAN_000026,COMP_004874,21472829.24,0.0658,48,real_estate,equipment,26198482.2,0.8196,2023-03-17,current,0,,,
LOAN_000027,COMP_003646,2034300.83,0.0786,24,equipment,securities,3142982.91,0.6473,2023-08-11,paid_off,0,,,
LOAN_000028,COMP_003126,50000000.0,0.0667,12,real_estate,securities,78995632.24,0.6329,2022-05-26,default,1,76,24802095.11,25197904.89
LOAN_000029,COMP_001079,9487276.56,0.0659,12,equipment,receivables,11342961.27,0.8364,2020-10-12,paid_off,0,,,
LOAN_000030,COMP_003200,50000000.0,0.0604,48,working_capital,unsecured,0.0,,2020-01-20,paid_off,0,,,
LOAN_000031,COMP_003297,50000000.0,0.0723,48,equipment,receivables,71477910.2,0.6995,2021-05-27,paid_off,0,,,
LOAN_000032,COMP_000267,50000000.0,0.0741,60,working_capital,unsecured,0.0,,2020-05-07,paid_off,0,,,
LOAN_000033,COMP_001762,50000000.0,0.063,48,expansion,receivables,68472982.43,0.7302,2022-04-29,current,0,,,
LOAN_000034,COMP_004061,50000000.0,0.0598,12,real_estate,equipment,68472864.5,0.7302,2023-02-05,paid_off,0,,,
LOAN_000035,COMP_003652,50000000.0,0.0818,12,equipment,inventory,76338837.8,0.655,2024-11-10,paid_off,0,,,
LOAN_000036,COMP_001116,50000000.0,0.0524,12,real_estate,securities,58735804.27,0.8513,2023-04-08,paid_off,0,,,
LOAN_000037,COMP_003101,3155575.0,0.0723,60,real_estate,real_estate,3950586.07,0.7988,2024-06-25,current,0,,,
LOAN_000038,COMP_004110,16372900.01,0.0785,48,real_estate,equipment,20643575.35,0.7931,2020-02-03,paid_off,0,,,
LOAN_000039,COMP_004058,5149428.82,0.0525,12,expansion,inventory,5792805.51,0.8889,2023-08-07,paid_off,0,,,
LOAN_000040,COMP_001864,7091285.47,0.0774,60,equipment,securities,9638599.69,0.7357,2020-10-15,paid_off,0,,,
LOAN_000041,COMP_004052,50000000.0,0.0678,48,equipment,inventory,77065827.87,0.6488,2020-12-12,default,1,925,27554074.99,22445925.01
LOAN_000042,COMP_002375,50000000.0,0.0634,60,equipment,inventory,67208140.57,0.744,2024-04-06,current,0,,,
LOAN_000043,COMP_003565,38281676.43,0.0643,48,real_estate,receivables,43573387.33,0.8786,2020-05-21,paid_off,0,,,
LOAN_000044,COMP_001426,50000000.0,0.0578,48,working_capital,receivables,59056818.13,0.8466,2023-04-14,current,0,,,
LOAN_000045,COMP_004834,46749329.73,0.07,36,equipment,equipment,78612575.86,0.5947,2023-02-22,current,0,,,
LOAN_000046,COMP_001542,50000000.0,0.0664,24,equipment,receivables,56805021.69,0.8802,2020-01-23,paid_off,0,,,
LOAN_000047,COMP_002542,50000000.0,0.0804,36,equipment,unsecured,0.0,,2023-12-25,restructured,0,,,
LOAN_000048,COMP_002222,50000000.0,0.0741,12,expansion,real_estate,56638874.78,0.8828,2021-04-20,paid_off,0,,,
LOAN_000049,COMP_000723,1722618.02,0.0663,12,acquisition,securities,2175911.58,0.7917,2020-10-15,paid_off,0,,,
LOAN_000050,COMP_002009,2653301.27,0.083,48,acquisition,unsecured,0.0,,2022-09-13,current,0,,,
LOAN_000051,COMP_002621,26670187.87,0.0932,60,refinancing,securities,34666473.17,0.7693,2020-07-26,paid_off,0,,,
LOAN_000052,COMP_004514,18741485.03,0.0944,60,refinancing,real_estate,26730930.15,0.7011,2022-12-20,current,0,,,
LOAN_000053,COMP_002463,50000000.0,0.0825,36,refinancing,equipment,67404682.07,0.7418,2024-08-18,default,1,149,16611796.27,33388203.73
LOAN_000054,COMP_002422,587196.79,0.0766,12,working_capital,securities,921726.94,0.6371,2024-09-18,paid_off,0,,,
LOAN_000055,COMP_001904,17688606.16,0.067,12,real_estate,real_estate,26185970.64,0.6755,2024-03-18,paid_off,0,,,
LOAN_000056,COMP_003462,30387850.42,0.0712,36,acquisition,equipment,47406949.22,0.641,2020-03-01,paid_off,0,,,
LOAN_000057,COMP_003247,20333045.26,0.0755,48,expansion,real_estate,32651997.52,0.6227,2020-03-15,paid_off,0,,,
LOAN_000058,COMP_004596,15258167.24,0.0768,48,expansion,inventory,17415927.65,0.8761,2021-07-31,paid_off,0,,,
LOAN_000059,COMP_003193,44240802.78,0.0752,36,refinancing,real_estate,78738520.95,0.5619,2022-09-01,paid_off,0,,,
LOAN_000060,COMP_002845,50000000.0,0.0696,12,real_estate,real_estate,58247662.75,0.8584,2022-01-19,paid_off,0,,,
LOAN_000061,COMP_002967,50000000.0,0.0628,24,equipment,receivables,79668859.39,0.6276,2021-08-13,paid_off,0,,,
LOAN_000062,COMP_000767,50000000.0,0.0692,48,working_capital,real_estate,92770736.19,0.539,2024-02-09,current,0,,,
LOAN_000063,COMP_002956,27666458.53,0.0888,60,acquisition,securities,53500933.47,0.5171,2023-09-17,default,1,1222,12627661.8,15038796.73
LOAN_000064,COMP_004415,16366613.1,0.0776,60,working_capital,equipment,30134198.14,0.5431,2022-10-25,current,0,,,
LOAN_000065,COMP_001014,5461960.55,0.0674,60,acquisition,inventory,10387569.73,0.5258,2024-06-17,current,0,,,
LOAN_000066,COMP_000371,27426032.26,0.0749,24,expansion,receivables,34229862.18,0.8012,2024-01-28,current,0,,,
LOAN_000067,COMP_002069,1207034.46,0.0788,48,acquisition,real_estate,2367512.5,0.5098,2023-07-16,current,0,,,
LOAN_000068,COMP_001745,50000000.0,0.0742,24,refinancing,inventory,67304730.72,0.7429,2020-10-25,paid_off,0,,,
LOAN_000069,COMP_002341,18622356.29,0.0552,24,expansion,receivables,25287368.58,0.7364,2022-09-07,paid_off,0,,,
LOAN_000070,COMP_001223,34043174.84,0.0724,24,expansion,inventory,60323269.17,0.5643,2020-11-20,paid_off,0,,,
LOAN_000071,COMP_003103,50000000.0,0.0716,24,expansion,equipment,61747733.69,0.8097,2022-07-01,default,1,22,17692168.99,32307831.01
LOAN_000072,COMP_002706,50000000.0,0.06,36,refinancing,equipment,68734203.88,0.7274,2021-07-11,paid_off,0,,,
LOAN_000073,COMP_000587,1994106.15,0.0566,60,refinancing,unsecured,0.0,,2020-06-20,paid_off,0,,,
LOAN_000074,COMP_004224,36967699.77,0.0865,60,real_estate,equipment,50279108.92,0.7352,2024-11-03,restructured,0,,,
LOAN_000075,COMP_001166,37312327.18,0.0744,24,refinancing,receivables,73992451.47,0.5043,2021-12-30,paid_off,0,,,
LOAN_000076,COMP_004936,26958189.85,0.0548,60,real_estate,securities,35182239.9,0.7662,2020-03-04,paid_off,0,,,
LOAN_000077,COMP_001806,14019604.98,0.073,60,refinancing,real_estate,25738333.59,0.5447,2024-08-09,current,0,,,
LOAN_000078,COMP_004966,50000000.0,0.0519,48,acquisition,securities,71548610.31,0.6988,2020-06-18,paid_off,0,,,
LOAN_000079,COMP_002258,24474285.79,0.0753,60,equipment,inventory,32943161.12,0.7429,2021-09-18,current,0,,,
LOAN_000080,COMP_001155,50000000.0,0.063,48,expansion,receivables,61607235.81,0.8116,2023-02-25,current,0,,,
LOAN_000081,COMP_001542,50000000.0,0.0669,36,refinancing,equipment,64126309.88,0.7797,2023-10-11,current,0,,,
LOAN_000082,COMP_002892,50000000.0,0.0757,24,acquisition,securities,70312382.61,0.7111,2021-04-19,paid_off,0,,,
LOAN_000083,COMP_004868,50000000.0,0.087,12,acquisition,inventory,64701267.41,0.7728,2020-10-24,paid_off,0,,,
LOAN_000084,COMP_003442,8815456.8,0.0931,60,acquisition,receivables,16919988.98,0.521,2024-09-14,restructured,0,,,
LOAN_000085,COMP_003631,15151153.74,0.0693,48,working_capital,inventory,25148960.46,0.6025,2020-06-26,paid_off,0,,,
LOAN_000086,COMP_004423,8984318.71,0.0719,24,expansion,inventory,13080442.6,0.6869,2024-04-30,current,0,,,
LOAN_000087,COMP_003047,22880243.02,0.0637,36,refinancing,inventory,27500202.93,0.832,2024-05-05,current,0,,,
LOAN_000088,COMP_000451,50000000.0,0.0523,36,working_capital,real_estate,95291036.15,0.5247,2022-06-22,paid_off,0,,,
LOAN_000089,COMP_001578,50000000.0,0.0592,24,expansion,real_estate,58735980.53,0.8513,2022-07-21,paid_off,0,,,
LOAN_000090,COMP_001872,31361026.23,0.0762,24,expansion,unsecured,0.0,,2022-05-30,paid_off,0,,,
LOAN_000091,COMP_000323,38243791.07,0.0769,48,real_estate,securities,66014361.66,0.5793,2023-08-09,current,0,,,
LOAN_000092,COMP_003391,50000000.0,0.055,48,working_capital,securities,83011590.16,0.6023,2022-04-26,current,0,,,
LOAN_000093,COMP_002326,50000000.0,0.0812,24,refinancing,unsecured,0.0,,2023-06-04,default,1,359,40031028.01,9968971.99
LOAN_000094,COMP_004175,50000000.0,0.0644,48,refinancing,real_estate,80927515.83,0.6178,2023-07-03,current,0,,,
LOAN_000095,COMP_004664,50000000.0,0.0822,12,working_capital,real_estate,60791861.44,0.8225,2022-12-12,paid_off,0,,,
LOAN_000096,COMP_002501,50000000.0,0.0512,24,equipment,real_estate,91698836.2,0.5453,2021-05-16,default,1,451,15195555.49,34804444.51
LOAN_000097,COMP_001200,18749921.85,0.0711,24,refinancing,unsecured,0.0,,2022-03-06,paid_off,0,,,
LOAN_000098,COMP_004970,20195714.8,0.075,48,expansion,unsecured,0.0,,2023-09-14,current,0,,,
LOAN_000099,COMP_001029,50000000.0,0.0878,24,real_estate,real_estate,93138065.92,0.5368,2024-09-09,current,0,,,
LOAN_000100,COMP_002646,50000000.0,0.051,24,refinancing,unsecured,0.0,,2022-03-13,paid_off,0,,,
LOAN_000101,COMP_004990,11762854.66,0.0629,60,acquisition,receivables,16211515.01,0.7256,2023-10-29,current,0,,,
LOAN_000102,COMP_000909,50000000.0,0.0552,48,equipment,unsecured,0.0,,2024-05-06,current,0,,,
LOAN_000103,COMP_002066,43787139.84,0.0889,60,expansion,equipment,72671163.45,0.6025,2024-05-10,current,0,,,
LOAN_000104,COMP_003071,50000000.0,0.0628,60,expansion,receivables,81311310.72,0.6149,2020-04-16,paid_off,0,,,
LOAN_000105,COMP_004318,100000.0,0.0585,12,expansion,equipment,124423.63,0.8037,2020-03-23,paid_off,0,,,
LOAN_000106,COMP_000106,50000000.0,0.0751,60,equipment,unsecured,0.0,,2021-01-23,paid_off,0,,,
LOAN_000107,COMP_004614,379571.05,0.0708,36,refinancing,receivables,501281.81,0.7572,2024-12-09,current,0,,,
LOAN_000108,COMP_000176,25559323.64,0.0564,60,refinancing,unsecured,0.0,,2023-09-13,current,0,,,
LOAN_000109,COMP_004919,5652866.68,0.0729,60,real_estate,real_estate,7800539.8,0.7247,2024-12-04,current,0,,,
LOAN_000110,COMP_002232,3273739.08,0.0813,24,expansion,unsecured,0.0,,2022-05-12,paid_off,0,,,
LOAN_000111,COMP_001021,9442210.3,0.0729,12,real_estate,securities,18090253.63,0.522,2020-10-30,paid_off,0,,,
LOAN_000112,COMP_004577,50000000.0,0.0734,60,expansion,real_estate,60688310.14,0.8239,2024-03-09,current,0,,,
LOAN_000113,COMP_000775,8541746.58,0.094,12,working_capital,receivables,16872775.04,0.5062,2024-10-09,paid_off,0,,,
LOAN_000114,COMP_004912,50000000.0,0.0604,60,acquisition,unsecured,0.0,,2020-02-23,paid_off,0,,,
LOAN_000115,COMP_002307,2585523.56,0.0692,12,refinancing,receivables,4410599.94,0.5862,2022-07-26,paid_off,0,,,
LOAN_000116,COMP_003321,50000000.0,0.0728,24,working_capital,real_estate,57269758.9,0.8731,2021-09-26,paid_off,0,,,
LOAN_000117,COMP_002737,6774082.88,0.0679,36,expansion,equipment,13028766.41,0.5199,2022-02-24,paid_off,0,,,
LOAN_000118,COMP_002680,50000000.0,0.0722,48,working_capital,inventory,94990878.06,0.5264,2022-09-13,current,0,,,
LOAN_000119,COMP_001464,50000000.0,0.0654,48,acquisition,equipment,63822190.2,0.7834,2024-08-05,current,0,,,
LOAN_000120,COMP_001044,50000000.0,0.0788,36,working_capital,securities,84795658.57,0.5897,2021-09-24,paid_off,0,,,
LOAN_000121,COMP_002126,50000000.0,0.0475,36,real_estate,securities,94463524.92,0.5293,2021-03-14,paid_off,0,,,
LOAN_000122,COMP_003402,656785.19,0.0947,48,working_capital,receivables,1145007.28,0.5736,2022-08-29,current,0,,,
LOAN_000123,COMP_003142,6891498.29,0.0509,48,expansion,receivables,8589360.91,0.8023,2024-09-17,current,0,,,
LOAN_000124,COMP_002590,50000000.0,0.0614,60,expansion,receivables,64384322.67,0.7766,2020-08-31,paid_off,0,,,
LOAN_000125,COMP_003637,50000000.0,0.0681,24,refinancing,securities,80081209.95,0.6244,2020-07-27,paid_off,0,,,
LOAN_000126,COMP_000049,28467794.97,0.0646,48,refinancing,securities,34555868.21,0.8238,2023-10-09,current,0,,,
LOAN_000127,COMP_001710,18279560.58,0.057,36,refinancing,receivables,22349551.38,0.8179,2021-07-14,paid_off,0,,,
LOAN_000128,COMP_001161,50000000.0,0.0618,36,expansion,equipment,73800484.53,0.6775,2020-06-04,paid_off,0,,,
LOAN_000129,COMP_000137,23702228.54,0.0741,24,expansion,real_estate,33821909.54,0.7008,2024-08-11,current,0,,,
LOAN_000130,COMP_003199,5082718.06,0.0876,48,acquisition,real_estate,8921162.16,0.5697,2022-04-07,current,0,,,
LOAN_000131,COMP_000885,50000000.0,0.0645,12,acquisition,inventory,65714428.0,0.7609,2020-12-19,paid_off,0,,,
LOAN_000132,COMP_001022,10909634.82,0.0643,60,refinancing,securities,21150955.86,0.5158,2024-12-14,current,0,,,
LOAN_000133,COMP_001638,33279965.87,0.062,24,real_estate,real_estate,49645143.43,0.6704,2022-04-23,paid_off,0,,,
LOAN_000134,COMP_002141,50000000.0,0.0734,12,expansion,receivables,84920354.33,0.5888,2024-02-06,paid_off,0,,,
LOAN_000135,COMP_004545,50000000.0,0.0773,36,working_capital,unsecured,0.0,,2023-07-07,default,1,72,42061760.99,7938239.01
LOAN_000136,COMP_000842,50000000.0,0.0815,48,working_capital,equipment,67614859.66,0.7395,2024-06-29,current,0,,,
LOAN_000137,COMP_003078,31825671.42,0.0845,36,real_estate,securities,48073661.62,0.662,2022-05-21,paid_off,0,,,
LOAN_000138,COMP_002475,12728358.96,0.0669,48,equipment,securities,21762776.39,0.5849,2023-07-31,current,0,,,
LOAN_000139,COMP_000329,2664496.6,0.0786,48,acquisition,unsecured,0.0,,2021-09-01,paid_off,0,,,
LOAN_000140,COMP_003364,50000000.0,0.0826,60,expansion,inventory,87127001.46,0.5739,2024-07-03,current,0,,,
LOAN_000141,COMP_002568,41980050.47,0.0623,36,acquisition,unsecured,0.0,,2023-02-17,current,0,,,
LOAN_000142,COMP_001404,16142474.35,0.0583,48,real_estate,receivables,25191022.01,0.6408,2022-01-11,paid_off,0,,,
LOAN_000143,COMP_001305,50000000.0,0.0822,60,working_capital,equipment,76827837.46,0.6508,2023-10-15,current,0,,,
LOAN_000144,COMP_002163,2138304.53,0.0726,36,acquisition,unsecured,0.0,,2022-01-20,paid_off,0,,,
LOAN_000145,COMP_001863,50000000.0,0.0544,12,real_estate,receivables,83630640.01,0.5979,2021-11-22,paid_off,0,,,
LOAN_000146,COMP_003894,50000000.0,0.0689,48,refinancing,securities,63680490.33,0.7852,2020-03-30,paid_off,0,,,
LOAN_000147,COMP_000389,39204269.38,0.0774,24,working_capital,inventory,49859385.48,0.7863,2020-04-09,paid_off,0,,,
LOAN_000148,COMP_003980,12393881.37,0.0902,12,real_estate,real_estate,15085272.35,0.8216,2020-07-01,paid_off,0,,,
LOAN_000149,COMP_002953,50000000.0,0.0604,60,refinancing,inventory,57804816.09,0.865,2023-03-13,current,0,,,
LOAN_000150,COMP_002776,25748930.88,0.0653,48,expansion,receivables,31168283.35,0.8261,2020-09-09,paid_off,0,,,
LOAN_000151,COMP_000417,3603159.54,0.0521,60,equipment,inventory,4857532.48,0.7418,2023-01-17,current,0,,,
LOAN_000152,COMP_000442,50000000.0,0.0585,48,equipment,unsecured,0.0,,2022-06-05,default,1,270,31171094.08,18828905.92
LOAN_000153,COMP_001149,50000000.0,0.0689,12,real_estate,unsecured,0.0,,2022-05-13,paid_off,0,,,
LOAN_000154,COMP_002643,50000000.0,0.0704,24,acquisition,inventory,94153546.05,0.531,2021-05-27,paid_off,0,,,
LOAN_000155,COMP_003904,32274017.55,0.0745,36,expansion,unsecured,0.0,,2020-05-12,paid_off,0,,,
LOAN_000156,COMP_002486,4375536.1,0.0543,60,acquisition,receivables,8523908.41,0.5133,2024-03-17,current,0,,,
LOAN_000157,COMP_004331,8683243.02,0.0668,12,working_capital,securities,13691258.55,0.6342,2021-07-09,paid_off,0,,,
LOAN_000158,COMP_002834,38091369.87,0.0641,24,equipment,unsecured,0.0,,2022-08-30,default,1,43,25061961.68,13029408.19
LOAN_000159,COMP_003265,31607312.95,0.0662,12,expansion,equipment,60013063.72,0.5267,2024-08-29,paid_off,0,,,
LOAN_000160,COMP_002434,50000000.0,0.0734,24,acquisition,real_estate,98369722.65,0.5083,2020-11-12,paid_off,0,,,
LOAN_000161,COMP_000047,50000000.0,0.0893,12,expansion,unsecured,0.0,,2024-07-02,paid_off,0,,,
LOAN_000162,COMP_000320,4894116.8,0.051,24,acquisition,equipment,9349443.1,0.5235,2022-05-08,paid_off,0,,,
LOAN_000163,COMP_004400,14523910.21,0.0477,60,real_estate,receivables,21667646.07,0.6703,2022-07-08,current,0,,,
LOAN_000164,COMP_004967,6816044.06,0.0769,48,working_capital,real_estate,9562770.42,0.7128,2023-04-26,current,0,,,
LOAN_000165,COMP_001938,37073624.32,0.0825,36,refinancing,equipment,73451467.33,0.5047,2021-07-03,paid_off,0,,,
LOAN_000166,COMP_004979,175672.11,0.0645,12,equipment,securities,200140.16,0.8777,2024-06-06,paid_off,0,,,
LOAN_000167,COMP_004583,50000000.0,0.071,24,acquisition,unsecured,0.0,,2020-12-20,paid_off,0,,,
LOAN_000168,COMP_001142,19932330.19,0.0751,36,acquisition,inventory,37732158.11,0.5283,2020-08-07,paid_off,0,,,
LOAN_000169,COMP_002138,50000000.0,0.0849,12,refinancing,unsecured,0.0,,2023-06-08,paid_off,0,,,
LOAN_000170,COMP_000313,821007.8,0.0658,48,expansion,inventory,912864.83,0.8994,2023-08-14,current,0,,,
LOAN_000171,COMP_000722,40870393.87,0.0664,12,acquisition,securities,52984501.73,0.7714,2021-05-17,paid_off,0,,,
LOAN_000172,COMP_001620,12010778.17,0.071,36,expansion,securities,13547554.83,0.8866,2023-09-25,current,0,,,
LOAN_000173,COMP_001799,491610.3,0.0722,48,equipment,inventory,658848.55,0.7462,2022-02-05,current,0,,,
LOAN_000174,COMP_004184,1199577.49,0.0591,36,acquisition,real_estate,2173150.68,0.552,2024-11-28,current,0,,,
LOAN_000175,COMP_001296,7933244.2,0.0773,12,equipment,securities,9507044.61,0.8345,2022-04-25,paid_off,0,,,
LOAN_000176,COMP_003821,17162511.3,0.0725,48,real_estate,securities,22775780.42,0.7535,2020-07-14,paid_off,0,,,
LOAN_000177,COMP_003596,50000000.0,0.0716,12,acquisition,real_estate,85114513.02,0.5874,2023-01-16,default,1,147,11559266.23,38440733.77
LOAN_000178,COMP_000813,3183077.12,0.0632,12,acquisition,real_estate,3946314.47,0.8066,2023-06-16,paid_off,0,,,
LOAN_000179,COMP_004350,50000000.0,0.0835,36,refinancing,securities,95148761.21,0.5255,2022-06-15,paid_off,0,,,
LOAN_000180,COMP_000549,26194366.5,0.0515,48,acquisition,inventory,43164174.96,0.6069,2024-07-28,current,0,,,
LOAN_000181,COMP_002698,3074865.96,0.0835,12,real_estate,unsecured,0.0,,2020-02-08,default,1,91,2123238.35,951627.61
LOAN_000182,COMP_001496,50000000.0,0.0654,48,refinancing,receivables,96321227.55,0.5191,2024-03-25,current,0,,,
LOAN_000183,COMP_003453,33228883.55,0.0694,12,real_estate,inventory,57174619.4,0.5812,2022-04-18,paid_off,0,,,
LOAN_000184,COMP_000236,4892916.98,0.0752,12,expansion,inventory,7304039.98,0.6699,2020-10-02,paid_off,0,,,
LOAN_000185,COMP_002722,50000000.0,0.0825,12,expansion,inventory,57990676.27,0.8622,2024-06-10,paid_off,0,,,
LOAN_000186,COMP_001110,12232584.46,0.0789,24,acquisition,real_estate,22117316.9,0.5531,2024-07-27,current,0,,,
LOAN_000187,COMP_002252,50000000.0,0.0496,60,real_estate,inventory,77461043.69,0.6455,2022-02-26,current,0,,,
LOAN_000188,COMP_004801,1937992.17,0.0603,12,expansion,receivables,3807090.28,0.509,2020-05-30,paid_off,0,,,
LOAN_000189,COMP_004973,47412075.23,0.0783,12,real_estate,inventory,63528349.07,0.7463,2022-02-09,paid_off,0,,,
LOAN_000190,COMP_001901,50000000.0,0.0856,12,working_capital,unsecured,0.0,,2023-07-30,paid_off,0,,,
LOAN_000191,COMP_001099,50000000.0,0.0585,24,refinancing,real_estate,75097174.6,0.6658,2021-06-30,paid_off,0,,,
